assunto
Tensão de Fornecimento
Extensão de Rede
Ligação Nova em Baixa Tensão
Extensão de Rede - Projeto IP
Alteração de Carga
Ligação Nova em Média Tensão
Outras Solicitações de Serviços
Uso Mútuo - Telecom
Manutenção de Poste
DECG-Triagem
Manutenção
Alteração de Responsabilidade BT
Remoção de Rede
Desligamento Definitivo BT
Redução de Demanda
Migração MMGD
Viabilidade Técnica
Novo Ponto/ Substituição de IP
Qualidade do Fornecimento
Aumento de Demanda
Incorporação
Ligação Nova IP
Remoção de Poste (Inativo)
Alteração de Responsabilidade MT
Desligamento programado
Poda de Árvore
Migração ACL
2ª via de Fatura
Contratação MMGD REN 1.059/23
Informação
Desligamento Definitivo MT
Migração Tarifária (Inativo)
Contrato BT PP
Boleto OV (Inativo)
Alteração tarifária
Serviços Call Centermarca
Qualidade de fornecimento
Podas
Pauta
